description,amount,date,type,category
Monthly salary payment,10557.7,06/01/2024,income,Salary
Web development project,601.78,06/01/2024,income,Freelancing
Stock dividends,504.29999999999995,06/01/2024,income,Dividends
Bond interest,19.31,06/01/2024,income,Interest
Tenant rent,1099.42,06/01/2024,income,Rental Income
Business consulting,1129.28,06/01/2024,income,Consulting
Quarterly bonus,6356.58,06/01/2024,income,Bonus
Online sales,480.35,06/01/2024,income,Side Business
Investment gains,1922.98,06/01/2024,income,Investment Returns
Referral bonus,755.91,06/01/2024,income,Commission
Housing payment,1698.14,06/01/2024,expense,Rent
Supermarket purchase,291.88,06/01/2024,expense,Groceries
Internet service,115.76,06/01/2024,expense,Utilities
Uber ride,136.6,06/01/2024,expense,Transportation
Doctor visit,364.51,06/01/2024,expense,Healthcare
Concert tickets,178.3,06/01/2024,expense,Entertainment
Coffee shop,49.46,06/01/2024,expense,Dining Out
Home goods,165.06,06/01/2024,expense,Shopping
Life insurance,253.4,06/01/2024,expense,Insurance
Training program,257.12,06/01/2024,expense,Education
Supermarket purchase,345.83,06/08/2024,expense,Groceries
Food delivery,48.9,06/08/2024,expense,Dining Out
Grocery shopping,311.39,06/15/2024,expense,Groceries
Concert tickets,168.72,06/15/2024,expense,Entertainment